respondent_id,age_group,tech_comfort,education_level,primary_device,password_manager_use,mfa_method,phishing_awareness_training,privacy_settings_level,public_wifi_use,backup_frequency,software_update_habit,adblocker_installed,antivirus_status,password_reuse_count,unique_passwords_estimate,suspicious_link_clicks_last_6mo,privacy_habit_score_0_100,cyber_risk_score_0_100,experienced_security_incident_last_12mo,wants_simple_non_technical_guides_1_10,wants_habit_reminders_1_10,trust_in_online_safety_advice_1_10,feels_overwhelmed_by_cyber_advice_1_10,likely_to_use_habit_platform_1_10
U677134,55-64,Medium,Graduate,Windows PC,Never,Hardware key,Occasionally,Mostly hardened,Never,Monthly,When reminded,Yes,Built-in only,4,9.0,2.0,79.0,62.4,No,7,7,6,8,4.1
U764727,18-24,Low,Bachelor's,Mac,Regularly,None,Never,Default,Rarely,Never,Delayed,No,,4,9.0,3.0,37.0,87.2,Yes,9,8,7,8,5.6
U964448,35-44,Medium,HS or less,iPhone,Sometimes,SMS,Once,Some changes,Rarely,Monthly,When reminded,No,None,2,12.0,3.0,42.0,59.9,Yes,8,7,7,6,5.2
U720049,25-34,Low,HS or less,Windows PC,Never,None,Never,Default,Sometimes,Never,Delayed,No,Built-in only,2,5.0,,25.0,84.6,No,8,9,5,9,4.0
U652019,35-44,Low,Some college,Windows PC,Never,Authenticator app,Once,Some changes,Rarely,Monthly,When reminded,Yes,None,4,8.0,5.0,63.0,78.7,Yes,7,6,5,7,2.9
U922015,35-44,Medium,HS or less,Android,Tried once,Authenticator app,Once,Some changes,Never,Never,When reminded,Yes,None,4,8.0,3.0,45.0,69.2,No,7,10,6,8,4.6
U320992,25-34,High,Bachelor's,Android,Regularly,SMS,Occasionally,Some changes,Often,Never,Delayed,Yes,Paid suite,2,14.0,3.0,54.0,68.6,Yes,6,6,8,5,5.5
U814159,18-24,High,HS or less,iPhone,Sometimes,Authenticator app,Never,Some changes,Sometimes,Daily,Auto-update,No,None,3,9.0,,34.0,72.6,No,4,5,6,6,2.0
U357698,35-44,Low,Some college,Windows PC,Regularly,None,Occasionally,Default,Rarely,Monthly,Delayed,No,Built-in only,6,10.0,2.0,32.0,86.4,No,9,9,5,7,3.8
U701180,45-54,Medium,Some college,Android,Sometimes,Authenticator app,Once,Default,Never,Weekly,Auto-update,No,None,2,11.0,5.0,25.0,61.8,No,8,6,5,4,4.5
U666771,45-54,Medium,Some college,Android,Tried once,Authenticator app,Occasionally,Default,Never,Never,Delayed,Yes,None,2,6.0,4.0,38.0,68.2,Yes,8,8,4,5,5.0
U285576,35-44,Medium,Graduate,Android,Tried once,SMS,Never,Default,Rarely,Monthly,Delayed,No,None,2,9.0,3.0,32.0,82.0,No,9,9,6,9,5.6
U446577,25-34,Medium,HS or less,Windows PC,Regularly,None,Once,Default,Sometimes,Never,Auto-update,No,Paid suite,2,14.0,4.0,28.0,66.7,Yes,5,6,6,8,3.7
U993764,55-64,Medium,Bachelor's,iPad/Tablet,Never,None,Never,Some changes,Rarely,Weekly,When reminded,No,Built-in only,3,9.0,3.0,54.0,77.0,Yes,8,5,6,9,3.4
U016906,25-34,High,Bachelor's,Chromebook,Never,Authenticator app,Occasionally,Default,Sometimes,Weekly,Delayed,Yes,Built-in only,0,7.0,2.0,39.0,56.3,No,4,3,6,4,3.1
U116557,45-54,Low,Graduate,iPhone,Never,None,Once,Default,Sometimes,Monthly,Delayed,No,None,1,7.0,2.0,12.0,71.1,No,8,8,7,10,4.7
U534556,45-54,High,HS or less,Windows PC,Tried once,SMS,Occasionally,Mostly hardened,Rarely,Never,Auto-update,No,Paid suite,0,15.0,2.0,70.0,43.1,No,6,6,7,5,5.2
U575656,45-54,High,HS or less,Android,Sometimes,Authenticator app,Never,Default,Never,Monthly,When reminded,Yes,Built-in only,2,7.0,2.0,14.0,58.2,Yes,5,9,7,3,5.2
U487843,25-34,Medium,Bachelor's,Android,Sometimes,SMS,Once,Some changes,Often,Daily,When reminded,Yes,Built-in only,3,6.0,4.0,66.0,76.3,Yes,8,7,8,3,5.5
U833087,18-24,Medium,HS or less,Android,Regularly,Hardware key,Occasionally,Default,Sometimes,Weekly,When reminded,Yes,None,4,8.0,3.0,28.0,79.2,No,6,6,8,6,5.3
U576835,35-44,Medium,HS or less,iPhone,Regularly,None,Never,Default,Rarely,Monthly,When reminded,No,,2,10.0,4.0,32.0,67.2,Yes,6,8,7,7,4.8
U849769,65,Medium,Graduate,Android,Tried once,SMS,Never,Some changes,Sometimes,Weekly,Delayed,No,None,3,6.0,5.0,57.0,70.8,Yes,7,6,6,4,5.5
U582948,55-64,High,,iPad/Tablet,Never,Authenticator app,Occasionally,Mostly hardened,Rarely,Daily,Auto-update,No,Built-in only,0,8.0,2.0,70.0,48.4,No,3,7,6,6,2.7
U789275,18-24,Low,HS or less,iPhone,Tried once,SMS,Once,Some changes,Sometimes,Weekly,Delayed,No,Built-in only,3,8.0,4.0,49.0,83.5,Yes,8,9,5,4,6.6
U834489,35-44,Low,Graduate,iPhone,Never,None,Once,Some changes,Often,Never,Delayed,No,Built-in only,2,10.0,3.0,73.0,76.0,Yes,7,8,7,6,5.1
U411531,55-64,Medium,Some college,iPad/Tablet,Never,SMS,Occasionally,Some changes,Sometimes,Monthly,When reminded,No,None,4,8.0,5.0,59.0,81.5,No,8,8,8,5,5.3
U481015,45-54,High,Some college,Android,Never,Hardware key,Never,Default,Never,Never,When reminded,Yes,None,2,7.0,4.0,45.0,59.4,Yes,7,6,7,4,5.2
U764205,35-44,Low,Some college,Mac,Sometimes,None,Never,Default,Rarely,Monthly,Delayed,No,Built-in only,2,6.0,4.0,36.0,76.9,Yes,9,8,7,9,4.1
U307167,45-54,High,HS or less,Mac,Regularly,SMS,Occasionally,Mostly hardened,Never,Daily,When reminded,Yes,Paid suite,3,6.0,3.0,81.0,61.5,Yes,7,7,8,5,3.8
U369810,45-54,Medium,Some college,iPad/Tablet,Sometimes,None,Never,Some changes,Never,Monthly,Auto-update,No,None,5,9.0,4.0,57.0,86.7,No,5,7,5,4,4.3
U216198,45-54,Low,Graduate,iPhone,Tried once,SMS,Never,Some changes,Sometimes,Monthly,When reminded,Yes,None,4,7.0,3.0,58.0,80.3,Yes,9,7,7,8,4.3
U633655,65,Low,Some college,Windows PC,Sometimes,None,Never,Some changes,Sometimes,Monthly,When reminded,No,Paid suite,3,,4.0,69.0,85.7,Yes,10,7,9,8,5.9
U092664,35-44,Medium,Graduate,Android,Never,SMS,Never,Default,Never,Weekly,Delayed,Yes,None,1,11.0,4.0,28.0,70.8,Yes,6,6,6,7,3.0
U838417,18-24,Low,Some college,Mac,Sometimes,Authenticator app,Monthly,Mostly hardened,Often,Never,Delayed,No,Built-in only,1,6.0,1.0,69.0,54.2,Yes,8,9,6,6,5.7
U453584,55-64,Low,Graduate,iPhone,Sometimes,None,Never,Some changes,Never,Never,Delayed,No,Built-in only,5,10.0,5.0,69.0,78.4,Yes,7,8,5,8,5.6
U635093,18-24,Low,Graduate,Android,Regularly,None,Never,Default,Rarely,Never,Delayed,Yes,None,4,11.0,4.0,31.0,89.4,No,9,2,3,9,3.2
U695351,55-64,Medium,Bachelor's,Mac,Never,Authenticator app,Once,Some changes,Never,Daily,Delayed,No,None,3,8.0,,57.0,75.2,Yes,6,9,6,4,5.3
U803616,45-54,High,HS or less,Android,Regularly,Authenticator app,Monthly,Mostly hardened,Rarely,Monthly,Auto-update,No,Built-in only,2,11.0,3.0,76.0,51.4,No,6,5,6,5,3.8
U465054,45-54,Low,Some college,iPhone,Sometimes,Authenticator app,Never,Some changes,Never,Never,Delayed,No,Built-in only,4,8.0,5.0,34.0,78.7,No,8,7,8,10,4.8
U453422,65,Medium,Some college,iPad/Tablet,Regularly,SMS,Once,Some changes,Rarely,Never,Delayed,Yes,Built-in only,2,11.0,2.0,53.0,67.7,No,5,9,6,7,4.2
U417851,55-64,High,HS or less,iPhone,Sometimes,Authenticator app,Monthly,Default,Sometimes,Never,When reminded,Yes,,2,14.0,5.0,29.0,73.3,Yes,6,7,6,5,4.0
U142821,35-44,Medium,Some college,Windows PC,Sometimes,Hardware key,Monthly,Some changes,Never,Weekly,Auto-update,No,Built-in only,3,10.0,,44.0,67.6,No,6,9,7,9,4.2
U577433,65,Low,HS or less,Android,Never,None,Never,Default,Sometimes,Never,When reminded,Yes,None,3,2.0,3.0,,81.1,Yes,8,9,6,8,5.0
U383740,25-34,Low,Bachelor's,iPhone,Never,None,Never,Some changes,Rarely,Daily,Delayed,Yes,None,4,7.0,5.0,30.0,83.0,Yes,8,7,4,6,3.8
U403245,18-24,Medium,Some college,Android,Tried once,Authenticator app,Occasionally,Some changes,Rarely,Never,When reminded,No,Built-in only,2,11.0,3.0,41.0,62.0,No,8,7,8,8,4.8
U971865,25-34,Medium,HS or less,iPhone,Never,SMS,Never,Default,Often,Never,When reminded,No,None,3,11.0,4.0,33.0,79.8,Yes,5,4,2,4,3.5
U863989,65,Low,Some college,Android,Sometimes,SMS,Once,Default,Often,Never,Delayed,Yes,,4,5.0,3.0,41.0,93.6,Yes,10,6,8,7,6.3
U831995,35-44,Low,Some college,Windows PC,Never,SMS,Never,Default,Rarely,Never,Delayed,No,Built-in only,4,10.0,4.0,35.0,89.1,No,9,8,6,10,5.9
U959853,18-24,Low,Bachelor's,Windows PC,Never,SMS,Occasionally,Default,Rarely,Never,When reminded,No,Paid suite,6,7.0,3.0,31.0,95.0,Yes,9,9,3,7,4.1
U549592,18-24,Medium,Some college,Windows PC,Regularly,SMS,Once,Some changes,Rarely,Never,Auto-update,Yes,None,3,14.0,3.0,59.0,61.2,No,6,6,6,4,4.4
U789120,18-24,Low,Some college,iPhone,Sometimes,SMS,Once,Mostly hardened,Never,Monthly,Auto-update,Yes,None,4,9.0,3.0,65.0,89.1,Yes,7,9,7,7,5.4
U982947,55-64,Low,Some college,iPad/Tablet,Tried once,None,Never,Default,Often,Never,Delayed,No,Paid suite,5,10.0,5.0,20.0,100.0,No,6,7,6,9,3.8
U153925,35-44,Medium,Some college,Android,Tried once,None,Never,Mostly hardened,Rarely,Daily,When reminded,No,None,1,16.0,5.0,,64.5,No,9,7,6,5,4.9
U815455,45-54,Low,Bachelor's,Windows PC,Sometimes,Authenticator app,Never,Default,Never,Never,Auto-update,No,Built-in only,3,10.0,5.0,37.0,65.0,No,9,8,7,7,4.8
U467699,35-44,Medium,Graduate,Android,Tried once,SMS,Never,Some changes,Never,Weekly,Delayed,Yes,None,2,8.0,4.0,60.0,67.4,No,9,7,10,6,7.2
U737481,25-34,Medium,Bachelor's,Android,Sometimes,SMS,Never,Some changes,Never,Never,When reminded,Yes,Built-in only,3,15.0,3.0,51.0,82.6,Yes,8,7,7,7,4.3
U839257,25-34,Low,HS or less,Windows PC,Tried once,None,Never,Some changes,Sometimes,Weekly,Delayed,Yes,None,5,7.0,4.0,60.0,83.4,No,10,8,6,9,6.0
U181314,65,Medium,Bachelor's,iPad/Tablet,Regularly,SMS,Occasionally,Mostly hardened,Sometimes,Monthly,Delayed,No,None,3,10.0,3.0,85.0,58.3,Yes,6,8,4,5,5.2
U520494,25-34,Medium,Graduate,Android,Sometimes,SMS,Never,Default,Never,Daily,When reminded,Yes,Built-in only,2,12.0,,,63.5,Yes,6,5,4,5,2.6
U191464,25-34,Medium,Bachelor's,Android,Regularly,None,Never,Some changes,Often,Never,Delayed,Yes,Built-in only,2,9.0,2.0,32.0,82.9,Yes,6,5,4,6,2.7
U764712,65,Low,Bachelor's,Mac,Never,SMS,Never,Default,Rarely,Never,When reminded,Yes,Built-in only,4,6.0,4.0,36.0,82.5,Yes,10,5,6,7,5.3
U558387,65,High,Graduate,iPhone,Never,Authenticator app,Once,Mostly hardened,Sometimes,Never,Auto-update,Yes,Built-in only,3,8.0,3.0,60.0,77.0,No,5,7,5,4,3.8
U272326,65,Low,Bachelor's,Windows PC,Never,None,Once,Mostly hardened,Sometimes,Weekly,Auto-update,No,Built-in only,5,10.0,3.0,77.0,90.5,Yes,7,7,4,8,4.1
U471637,45-54,High,HS or less,iPhone,Regularly,Authenticator app,Occasionally,Default,Rarely,Daily,Delayed,No,Built-in only,1,,1.0,30.0,46.0,No,5,10,3,5,3.3
U070648,35-44,Medium,Some college,Windows PC,Never,Authenticator app,Occasionally,Default,Rarely,Never,Auto-update,Yes,Paid suite,2,11.0,1.0,45.0,54.9,Yes,10,9,6,5,5.8
U352646,45-54,Medium,Bachelor's,Android,Never,SMS,Never,Mostly hardened,Never,Never,Delayed,Yes,None,3,6.0,3.0,78.0,71.3,Yes,6,6,6,5,4.8
U104564,45-54,Low,Bachelor's,Windows PC,Tried once,None,Never,Default,Never,Never,Delayed,Yes,None,3,7.0,4.0,22.0,95.9,No,9,5,6,6,5.7
U951748,65,Medium,Some college,Chromebook,Tried once,None,Never,Default,Never,Monthly,Auto-update,Yes,None,2,9.0,3.0,31.0,72.1,Yes,7,6,6,3,5.0
U051556,65,Low,Some college,iPhone,Never,SMS,Monthly,Mostly hardened,Rarely,Monthly,Auto-update,Yes,None,4,5.0,3.0,84.0,82.8,No,8,9,7,6,5.8
U643048,35-44,Medium,Some college,Android,Never,None,Occasionally,Some changes,Never,Weekly,When reminded,No,None,2,10.0,2.0,62.0,66.6,No,7,9,7,4,6.0
U582701,65,Low,HS or less,iPad/Tablet,Never,None,Never,Some changes,Sometimes,Monthly,Auto-update,No,None,5,10.0,2.0,62.0,100.0,No,8,4,7,6,4.4
U964465,35-44,Medium,HS or less,iPhone,Never,SMS,Once,Default,Sometimes,Daily,Delayed,Yes,None,9,5.0,3.0,36.0,99.9,No,6,8,6,2,5.8
U066951,18-24,Medium,HS or less,Windows PC,Regularly,SMS,Once,Default,Often,Weekly,When reminded,No,None,2,7.0,5.0,21.0,80.5,Yes,5,6,4,4,3.5
U645522,18-24,Medium,Some college,iPhone,Tried once,Authenticator app,Never,Default,Sometimes,Monthly,Auto-update,No,Paid suite,2,8.0,4.0,29.0,68.0,Yes,6,8,6,6,4.1
U775629,18-24,Medium,Some college,Windows PC,Never,None,Never,Some changes,Rarely,Weekly,When reminded,Yes,Built-in only,2,10.0,3.0,47.0,63.8,No,8,7,8,6,5.5
U857814,65,Low,Some college,Windows PC,Never,None,Monthly,Default,Rarely,Weekly,Delayed,Yes,Paid suite,4,7.0,,37.0,86.3,Yes,9,8,6,7,5.4
U705451,25-34,High,Some college,Android,Regularly,SMS,Once,Default,Rarely,Monthly,Auto-update,No,Built-in only,2,12.0,4.0,54.0,57.3,No,4,7,6,5,2.8
U934393,25-34,Medium,HS or less,Mac,Regularly,SMS,Occasionally,Some changes,Often,Never,Delayed,Yes,None,3,11.0,3.0,60.0,71.8,Yes,5,4,6,6,2.1
U106777,25-34,Low,HS or less,iPhone,Tried once,Hardware key,Occasionally,Default,Sometimes,Never,When reminded,Yes,Built-in only,4,10.0,3.0,43.0,84.8,No,6,10,6,5,4.6
U926907,45-54,High,HS or less,Android,Sometimes,None,Occasionally,Some changes,Rarely,Weekly,Auto-update,No,Built-in only,3,10.0,3.0,47.0,72.4,No,6,10,5,5,5.6
U153744,65,High,HS or less,Android,Never,Authenticator app,Occasionally,Some changes,Sometimes,Never,Auto-update,Yes,None,1,14.0,2.0,56.0,56.2,No,5,5,7,5,3.9
U407987,18-24,Low,Graduate,Android,Sometimes,SMS,Occasionally,Default,Never,Weekly,Auto-update,No,None,2,9.0,1.0,38.0,61.6,No,9,8,5,10,4.8
U749659,65,Low,Some college,Android,Never,None,Never,Default,Never,Never,Delayed,No,Built-in only,3,6.0,3.0,33.0,84.6,No,10,7,5,9,5.3
U487701,35-44,Low,Bachelor's,iPhone,Tried once,SMS,Once,Some changes,Rarely,Monthly,When reminded,Yes,Built-in only,4,8.0,4.0,77.0,80.1,Yes,7,5,9,6,3.9
U017312,25-34,High,Bachelor's,Windows PC,Sometimes,SMS,Never,Mostly hardened,Never,Never,Auto-update,Yes,Built-in only,3,2.0,5.0,63.0,72.5,Yes,7,7,3,3,4.4
U316057,25-34,Medium,Some college,iPad/Tablet,Never,None,Once,Default,Rarely,Daily,Delayed,No,Built-in only,1,15.0,3.0,46.0,69.8,Yes,8,8,9,8,4.3
U840335,25-34,Medium,HS or less,iPad/Tablet,Regularly,None,Never,Default,Sometimes,Never,When reminded,No,Built-in only,5,6.0,5.0,38.0,97.3,Yes,9,7,6,7,4.8
U351992,35-44,Low,Some college,iPhone,Never,None,Occasionally,Some changes,Never,Monthly,When reminded,No,None,3,7.0,3.0,83.0,72.6,No,9,10,6,5,6.0
U017780,25-34,Low,,Windows PC,Sometimes,SMS,Occasionally,Some changes,Rarely,Monthly,Delayed,No,Paid suite,5,3.0,2.0,60.0,99.2,Yes,10,7,5,9,4.1
U857536,65,Medium,HS or less,Windows PC,Sometimes,Authenticator app,Occasionally,Some changes,Rarely,Never,When reminded,Yes,Built-in only,3,12.0,3.0,35.0,73.0,Yes,7,6,4,5,3.9
U307131,55-64,Medium,Bachelor's,Windows PC,Tried once,SMS,Never,Default,Rarely,Daily,When reminded,No,Built-in only,1,6.0,5.0,49.0,57.2,No,8,4,3,6,4.6
U794872,25-34,High,Some college,iPhone,Never,SMS,Monthly,Some changes,Sometimes,Daily,Delayed,Yes,Paid suite,2,13.0,2.0,56.0,72.0,No,7,7,10,4,5.3
U265666,18-24,High,Graduate,Android,Regularly,Authenticator app,Once,Default,Never,Monthly,Auto-update,No,None,1,8.0,3.0,48.0,53.8,No,5,6,6,5,3.1
U902224,45-54,Low,Graduate,Windows PC,Sometimes,None,Never,Default,Rarely,Never,Delayed,No,Built-in only,3,11.0,3.0,43.0,77.0,No,10,7,2,7,5.5
U648321,18-24,Medium,Bachelor's,Mac,Tried once,SMS,Never,Default,Never,Weekly,Auto-update,No,Built-in only,3,13.0,5.0,18.0,77.0,No,7,4,8,7,4.0
U543702,35-44,Medium,Bachelor's,iPad/Tablet,Sometimes,None,Never,Mostly hardened,Never,Monthly,Auto-update,Yes,None,2,12.0,4.0,70.0,61.6,No,5,8,4,6,3.3
U317787,35-44,Low,Graduate,Mac,Sometimes,Authenticator app,Occasionally,Default,Often,Monthly,Delayed,Yes,,4,14.0,3.0,50.0,79.6,No,9,6,4,10,4.9
U386075,45-54,High,Some college,iPad/Tablet,Regularly,Authenticator app,Occasionally,Mostly hardened,Often,Weekly,Auto-update,Yes,None,3,9.0,1.0,85.0,57.0,No,6,7,9,3,4.5
U294811,35-44,Medium,Some college,Android,Tried once,SMS,Once,Some changes,Sometimes,Weekly,Delayed,Yes,Built-in only,3,7.0,3.0,69.0,86.4,No,7,7,5,6,4.3
U982364,55-64,Low,Some college,iPad/Tablet,Tried once,SMS,Never,Some changes,Sometimes,Never,Auto-update,No,None,4,14.0,3.0,36.0,96.3,Yes,8,7,7,6,4.9
U749092,25-34,Medium,Bachelor's,iPhone,Tried once,Authenticator app,Never,Default,Sometimes,Never,Delayed,No,None,3,13.0,5.0,17.0,86.2,Yes,7,8,5,4,4.9
U636655,55-64,High,HS or less,iPad/Tablet,Regularly,Authenticator app,Occasionally,Mostly hardened,Rarely,Weekly,Auto-update,No,None,3,12.0,3.0,73.0,60.5,No,6,6,7,6,4.0
U604561,25-34,Low,HS or less,iPhone,Tried once,None,Never,Some changes,Sometimes,Never,Auto-update,No,Built-in only,2,6.0,3.0,72.0,69.4,No,8,6,6,10,5.0
U571284,25-34,Low,Bachelor's,iPhone,Never,None,Occasionally,Some changes,Never,Never,When reminded,No,Built-in only,2,,3.0,63.0,70.8,No,6,7,8,7,3.9
U469417,35-44,High,Bachelor's,Windows PC,Regularly,SMS,Once,Default,Sometimes,Weekly,When reminded,No,None,2,13.0,4.0,36.0,66.7,Yes,5,6,8,4,3.7
